symbol,Keywords
KMI,pipeline infrastructure Pipelines Mountain pipeline marketing condensate petroleum Terminals production intrastate ownership aviation transportation operation interstate 
HTGC,generating capital-backed equity-related investment objective technology-related industries specialty investments appreciation attractive sustainable portfolio renewable technology technology non-diversified closed-end investment 
FMBI,financing industrial municipal metropolitan principal subsidiary refinance commercial improvement Illinois state-chartered management portfolio December commercial customers construction corporate 
NMIH,transaction individual Holdings Insurance Corporation loan-by-loan reinsurance subsidiary protection portfolio subsidiary Reinsurance aggregated Government-sponsored 
TAHO,development Shahuindo northwestern additional business northeastern southeastern Guatemala expansion Fenn-Gib copper-gold exploration/development production exploration principal business evaluation acquisition 
CSX,industrial transportation Corporation intermodal rail-based traditional equipment electricity-generating rail-to-truck deep-water automotive agricultural merchandise 
GLRE,strategic multiple non-life reinsurance disability insurance frequency business potential Greenlight significant Greenlight Reinsurance reinsurance business underwriting casualty reinsurance reinsurance 
PKY,Partners third-party Phoenix Business fee-based addition December Third-Party subsidiary Westchase CityWestPlace Greenway Galleria portfolio investment self-managed 
SFL,purchase container newbuilding double-hull ultra-deepwater drilling chemical jack-up drilling ownership international International operation oil/bulk/ore offshore 
CSFL,division consulting correspondent financial CenterState business commercial corporate overhead traditional substantial brokerage subsidiary 
NBY,synthetic Aganocide additional business Cleanser hypochlorous cleansing chemical auriclosene biopharmaceutical activity dermatology commercializing prescription NeutroPhase 
HSY,confectionery business Hershey Company producer December refreshment chocolate Middle snacking product principal product International segment non-chocolate confectionery 
IXYS,development manufacture amplification mixed-signal application-specific Corporation semiconductors semiconductor application frequency electricity metal-oxide-silicon communication interface transistors multi-market mixed-signal 
EFSC,Enterprise Financial management services retirement financial metropolitan business division Treasury Management financial planning investment management brokerage subsidiary non-profit acquisition 
NDAQ,information management financial Information Corporate Solutions business Corporate Solutions corporation regulatory derivative settlement technology 
BNFT,disability insurance management voluntary exchange healthcare multi-tenant cloud-based cloud-based Employer Benefitfocus Platform critical Benefitfocus provision insurance supplemental 
YFI.V,multichannel concurrent High-Density Protocol 3-channel advantage developing development-stage peripheral equipment Equipment Manufacturer intellectual Surveillance specific Streaming connection Licensing Edgewater 
WPK.TO,non-barrier industrial atmosphere packaging perishable high-barrier modified atmosphere specialty packaging applications printing healthcare performance single-serve beverage 
RMBS,development System-on-Chip validation protocol electronic application-specific processor hardware long-term licensing automation Interface technologies manufacturing technology anti-counterfeiting software 
CSS,manufacture seasonal consumer products Christmas products Valentine products Valentine procurement decorative Berwick non-durable seasonal products classroom exchange educational products stationery occasion distribution exchange Valentine expression products 
MPH.V,development pharmaceutical neurological hydrochloride International IIb/IIIa inhibitor TARDOXAL commercialization glycoprotein IIb/IIIa biopharmaceutical preclinical-stage AGGRASTAT subsidiary Transdermal AGGRASTAT Dyskinesia cardiovascular 
DQ,photovoltaic equipment manufacturer deposition Polysilicon downstream photovoltaic ready-to-use polysilicon polysilicon manufacturing solidification processing polysilicon crucible 
MNK,pharmaceutical respiratory autoimmune hemostasis pulmonology pharmaceutical ingredient Mallinckrodt rheumatology immunotherapy nephrology StrataGraft ophthalmology Hemostasis portfolio controlled medicinal therapeutic 
MXWL,radiation-hardened microelectronic transportation multi-cell Radiation-Hardened Microelectronic ultracapacitor applications spacecraft high-density microelectronic high-voltage information technology High-Voltage 
SCHW,Marketplace management retirement business corporate brokerage financial advisory Corporation custodial institutional retirement Investor Services Brokerage brokerage investment third-party 
HON,customers Productivity developing productivity automation equipment workplace Honeywell International performance Performance providing technology 
JCS,manufacture connectivity infrastructure conversion management broadband physical connectivity subsidiary Transition Networks Technologies operation information technology 
GGB,Operations metallurgical operation Uruguay semi-finished Company commercialization Guatemala production Colombia Argentina Dominican Republic manufacturer 
EPE,development natural unconventional drilling inventory Corporation Company Northeastern December production operating independent exploration Wolfcamp Altamont equivalent acquisition 
FC.TO,development multi-family residential Corporation store-front commercial conventional non-conventional construction mixed-use residential residential Canada-based portfolio investments short-term 
HR,Tennessee December Missouri Washington Minnesota outpatient healthcare office/outpatient property management California Incorporated Healthcare healthcare-related self-administered investment self-managed 
NBL,development independent conventional Suriname business Marcellus offshore deepwater Mediterranean Midstream international production exploration offshore Equatorial portfolio International Falkland Corporate unconventional 
CLR.TO,Capesante wild-caught Seafoods Incorporated marketing Endurance processing Clearwater Seafoods Continental connection Preserver ownership Enterprise subsidiary distribution coldwater 
NTRI,available customer different management notified December Auto-Delivery ready-to-go Nutrisystem auto-delivery four-week pre-selected multi-day 
WWE,Television individual entertainment Entertainment programming television WWEShop production Products Licensing pay-per-view distribution Corporate integrated Merchandise advertising 
LAYN,development pipeline specialty drilling offering Christensen Company wastewater air-blast construction drilling Services management technology rehabilitation circulation 
BLK,advisory collective investment BlackRock Solutions closed-end institutional technology vehicles allocation platform multi-asset exchange-traded BlackRock investment management open-end 
CSCO,security mobility addition Company Provider Americas Wireless technical collaboration Systems Collaboration Next-Generation Security geographic technology Switching advanced 
UMPQ,Products financial offering Commercial Corporation Washington Community traditional products December residential mortgage California Investment Advisory Consumer Investments principal business principal 
SORL,Passenger different automotive original automotive Company Commercial primary related commercial systems original equipment related aftermarket Sino-foreign Systems 
QIWI,Commonwealth Independent network physical distribution merchant December digital channels customer provider electronic physical 
WHG,Westwood Management Emerging retirement distinct investment individual retirement Westwood Advisors International Advisors Convertible Securities fiduciary non-profit Westwood International investment Westwood Holdings 
OSIR,researching Therapeutics Biosurgery business marketing preservation endogenous dimensional tissue-resident orthopedic BioSmart cryopreservation cellular cartilage Cartiform inherent functionality regenerative 
JBHT,continental Dedicated intermodal transportation traditional final-mile delivery third-party Intermodal conversion delivery equipment Solutions brokerage replenishment Integrated Transport full-load 
ISR,pancreatic gynecological isotope-based Cesium-131 colorectal interstitial radiation radioisotope radiation cancerous production brachytherapy malignant subsidiary therapeutic technology Brachytherapy 
AROW,advisory retirement financial Financial Corporation business Saratoga administration industry commercial community supervision ownership employee administrative profit-sharing 
TDG.TO,providing manufacturing industry Trinidad Drilling drilling international Canada-based International Manufacturing Miquetla Villahermosa 
WMAR,outfitter lifestyle seating/boat specialty expansion waterlife-related e-commerce ventilation maintenance recreation products navigation expansion products 
HSON,professional-level recruitment development Management project-based outsourcing recruitment outsourcing Outsourcing outplacement capability Recruitment Temporary Contracting management contingent workforce interview professional executive assessment 
SON,protective industrial point-of-purchase composite paperboard custom-engineered fulfilment Packaging Protective temperature-assured easy-open Industrial management manufacturing fiber-based 
FTD,Kingdom Republic portfolio Commerce Postagram specialty traditional Through provider International non-florist Consumer marketer Interflora 
CNX,division Chattanooga business Marcellus Pennsylvania Appalachian processing terminal preparation production Production Exploration marketing integrated acquisition principal 
UG,development manufacture United-Guardian marketing Company cosmetic development department specialty industrial 
SWK,Infrastructure industrial BOSTITCH Porter-Cable Mechanical commercial Accessories Engineered Convergent BLACK+DECKER Industrial SONITROL Craftsman mechanical SIDCHROME electronic WanderGuard 
CTIC,development evaluating pacritinib maintenance once-daily aminopeptidase commercializing blood-related paclitaxel poliglumex commercialization refractory aggressive aminopeptidase inhibitor biopharmaceutical cooperative non-Hodgkin acquisition investigator-sponsored 
SIS.TO,accessible Vehicles mobility elevators Corporation Brampton commercial Accessibility accessibility platform residential Canada-based subsidiaries 
PHM,development Financial Mortgage business PulteGroup origination Neighborhoods homebuilding homebuilder construction Through Homebuilding operations residential financial subsidiaries Homebuilding acquisition 
IBM,predictive consulting descriptive Technology technology infrastructure commercial Financing Platforms Corporation prescriptive International technology application management information technology 
SPRT,smartphone business personal software-as-a-service optimization companies cloud-based offering cloud-based automation wireless protection registry maintenance Internet technology SUPERAntiSpyware principal 
LNT,Wisconsin electric Corporation Alliant Minnesota electric generating unallocated portfolio Non-regulated Utility Corporate investor-owned renewable Interstate 
INFI,development dual-inhibitor phosphoinositide-3-kinase immuno-oncology CONTEMPO clinical-stage DYNAMO+R hematologic Venetoclax potential biopharmaceutical treatment potential investigation duvelisib SYNCHRONY Duvelisib discovery 
GBCI,single-family conventional transaction Colorado installment December origination commercial automobile community medium-sized Washington residential subsidiary first-mortgage agriculture 
DLHC,consulting management Holdings professional healthcare technology-enabled Department Solutions technical services subsidiary services International government agencies 
CL,nutrition product America Palmolive product segment Personal Softsoap household Pacific personal Nutrition segment Colgate-Palmolive Sensitive Pro-Relief dishwashing geographic consumer Fabuloso 
AVNW,broadcast lightly-licensed management frequency regulatory government microwave millimeter license-exempt operating solutions maintenance deployment professional transportation point-to-point microwave 
GLYC,development debilitating additional combination vaso-occlusive hematologic small-molecule glycomimetic glycomimetic identification Rivipansel E-selectin inhibitor chemotherapy clinical-stage biotechnology galectin-9 preclinical-stage discovery 
FBIZ,equipment financing management services Financial administration commercial medium-sized FBB-Milwaukee treasury management services Bank-Milwaukee asset-based financing investment short-term 
FSP,available development management Sponsored investing December commercial business district Minneapolis property management shareholder Franklin portfolio dividend distribution investment 
LOGI,Logitech International distributors Jaybird wireless peripheral domestic specialty wireless value-added computer international consumer 
MDA.TO,Canada-based communications information television infrastructure government Intelligence commercial Surveillance space-based surveillance communication distribution operational terrestrial geospatial information 
PARR,Logistics refinery infrastructure single-point consumption Holdings neighboring Molokai Refinery Texadian Refining marketing Corporate merchandise 
SAR,mezzanine Investment Advisors collateralized closed-end appreciation non-diversified management leveraged specialty Investment middle-market portfolio obligation investments investment objective management investment bankruptcy 
CFFN,Financial business metropolitan Lawrence addition four-family four-family residential telephone permanent owner-occupied Emporia Missouri services subsidiary concentration Manhattan mortgage 
GSK,Immuno-inflammation Nutrition Oncology Respiratory prescription Wellness Healthcare physiogel immunodeficiency Pharmaceuticals /infectious GlaxoSmithKline healthcare portfolio 
NAK,Copper-Gold-Molybdenum Northern Newhalen tidewater exploration interest sea-level property Iliamna southwest 
EFC,government-sponsored Government Ellington Financial government residential mortgage-backed specialty non-Agency mortgage-related commercial mortgage-backed Government-sponsored asset-backed principal 
THC,Kingdom short-stay facilities Healthcare Corporation business non-Tenet December suburban specialty outpatient academic Ambulatory critical healthcare 
CECE,building equipment filtration industrial handling Filtration recovery environmental compliance manufacture Environmental engineering petrochemical Handling provider pollution 
AVAV,development AeroVironment protection government Efficient marketing commercial situational awareness Aircraft production multi-band Department portfolio 
ASUR,tablet-based management cloud-based software-as-a-service AsureForce utilization administration AsureSpace SaaS-based business intelligence workplace business workplace management 
SIG,Kingdom conversion Jewelers shopping Canadian Company retailer Piercing mall-based Sterling Jewelers Republic Galleria polished Jewelers division 
EGBN,Columbia business District December commercial community Montgomery individual professional non-profit EagleBank corporate principal 
ALK,third-party transportation business December Regional Regional segment Mainline Elevate Horizon Horizon segment capacity Mainline segment distance network narrowbody passenger frequent 
SPNS,technical consulting management financial business International Corporation implementation DECISION acceptance commercial specialty retirement Retirement Technology-Based portfolio reinsurance Casualty/General 
AGX,development consulting management installation infrastructure government technical generation commercial procurement engineering construction maintenance industrial fabrication renewable 
SRC.V,development Klondike additional Stakeholder hectares exploration principal business portfolio exploration-stage Ballarat acquisition discovery 
HWBK,industrial installment business outstanding residential asset-backed commercial available-for-sale investment political Hawthorn Bancshares ownership brokerage subsidiary investment portfolio portfolio government-sponsored 
PGR,Commission-based specialty property-casualty business Commercial recreational commercial automobile homeowner liability auto-related insurance Progressive Corporation Insurance Procedures/Plans property-casualty insurance insurance physical 
UMH,primary business leasing Pennsylvania December Company taxable connection Tennessee ownership Indiana communities subsidiary operation investment 
NSU.TO,Mogoraib volcanogenic massive addition Exploration License Brestovac-Metovnica Exploration Magmatic Complex satellite volcanogenic copper-gold Smelting Northwest adjacent European Carpathian-Balkan operation Property copper-zinc-gold principal 
MTSC,industrial magnetostriction industrial machinery calibration Corporation hydraulic equipment maintenance Temposonics manufacturing technology non-contact feedback 
SNH,REIT independent residential Housing biotech laboratory investment medical wellness Company 
ANAT,non-insurance subsidiaries business Commercial Stop-Loss Universal Disability Immediate insurance Deferred Supplement Supplemental Insurance non-insurance Corporate Insurance Credit-Related 
HMLP,regasification Lampung financing infrastructure newbuilding Lampung province carriers Perusahaan Company Supply southeast Majority operating long-term charters first-generation long-term Indonesia offshore 
FCR.TO,leasable Griffintown Normandie business Lawrence Holdings retail-centered Company Wellington Peninsula Salaberry interest Cliffcrest subsidiary properties 
PAR,reconnaissance management installation Government restaurant technical intelligence Restaurant front-of-store point-of-sale surveillance Hospitality Department hospitality Technology Corporation lifecycle 
PN,independent background employment pre-screening administration adjudication compensation technology outsourcing technology-enabled outsourcing policyholder underwriting information technology 
ESRX,management union-sponsored healthcare management government third-party administration BioSource Corporation utilization compensation consultation providing healthcare subsidiary distribution formulary management SafeGuardRx 
UAN,function dual-train December partnership ton-per-day capacity gasification Dubuque nitrogen fertilizer capacity urea-ammonium Coffeyville petroleum standard 
ACUR,development pharmaceutical conversion medication multiple immediate-release extraction pseudoephedrine methamphetamine commercialization platform products oxycodone deterrent technology Technology technology products 
FMNB,insurance Retirement Insurance retirement consulting Investment financial management operation subsidiaries Investments principal 
CERU,Energy Market US 
CHH,MainStay development conversion combination Franchising December Suburban franchising construction SkyTouch Technology International Corporate international franchise 
CNTY,Hotel-Edmonton Hotel-Cripple restaurant ) entertainment southern Racetrack racetrack Hotel-Central pari-mutuel off-track interest lodging Calgary international Argentina Corporate 
LGL,MtronPTI voltage-controlled temperature megahertz electronic oscillator Spectrum millimeter frequency portfolio subsidiary gigahertz Frequency Technology oven-controlled 
MAMS,information consulting management cloud-based business vertical distribution automotive aftermarket wholesale construction business management Solutions provider technology 
PKX,manufacture industrial generation Corporation construction commercial integration engineering production products residential distribution Korea-based 
ORC,pass-through combination fixed-rate residential mortgage-backed appreciation attractive risk-adjusted portfolio business objective adjustable-rate principal 
ECOL,Company-owned industrial radioactive government hazardous recycling commercial collection wastewater environmental characterization Industrial non-hazardous transportation Environmental 
AXU,development Bermingham properties consulting management Resource environmental permitting District environmental compliance Tailings Whitehorse Environmental exploration McQuesten remediation Bellekeno operation Territory principal 
BP,development midstream transportation Downstream marketing everyday packaging production exploration manufacturing corporate integrated 
PKOH,manufacture management Park-Ohio diversified international Engineered strategic efficiency production Management Components subsidiary manufacturing 
EQR,development apartment management high-density suburban business District Residential December Washington Partnership residential property Columbia consisting Francisco Operating property business multifamily residential apartment properties Southern California investment acquisition 
AEE,Transmission Corporation generation Regulatory Commission Illinois transmission transmission business Commission rate-regulated distribution business Distribution rate-regulated 
IPCI,development manufacture hydrochloride extended-release multidimensional controlled-release Glucophage Hypermatrix technology controlled-release targeted-release Oxycodone Carvedilol Canada-based pharmaceutical International therapeutic 
CUNB,management business offering transport full-service commercial Automated domestic business-oriented stand-by medium-sized international products bank-by-mail professional telephone California non-profit Machines 
INTC,industrial automotive equipment stand-alone System-on-Chip Computing Corporation original equipment multichip Non-Volatile Programmable Solutions operating Solutions microprocessor designing Technology notebook equipment manufacturers 
HVT,Beautyrest Tempur-Pedic upper-middle Havertys December third-party Southern internal revolving mattress Tennessee residential furniture Maryland Carolina Furniture 
ADMP,development pharmaceutical respiratory Corporation milligram Pre-filled epinephrine Epinephrine Injection immunization TeloB-VAX biotechnology portfolio Epinephrine pre-filled technology 
WFBI,Management WashingtonFirst Bankshares not-for-profit metropolitan Rockville Washington professional Commercial management commercial Corporation subsidiary small-to-medium 
PLBC,development government-guaranteed industrial agricultural residential statewide commercial California state-chartered Insurance Corporation insurable construction portfolio commercial/agricultural subsidiary Beaverton 
GLOB,customer specific different Relevant December Discover consumer comprehensive approach understanding hardware Companys principal subsidiary technology 
OEC,business producer December performance additive diversified Specialty reinforcement specialty platform production mechanical jointly-owned production 
ADTN,subscriber infrastructure networking full-range implementation Aggregation Traditional environmental Solutions maintenance portfolio technology ADTRAN physical 
CDNA,development moderate/severe development-stage transplant donor-derived cell-free probability cell-free deoxyribonucleic generation transplant surveillance discovery commercialization Variability personalize dd-cfDNA complementary information diagnostic surveillance expression transplant 
TRCB,independent community consumer/installment not-for-profit state-chartered commercial residential community financial Community medium-sized corporate business telephone depository Middlesex electronic 
PKT.V,management Och-Ziff additional Facility Holdings Enterprise Florida Jacksonville Connecticut optimization Expresso Greenscape property portfolio alternative International investment acquisition Oakland International 
SIGA,development BioShield Strategic Stockpile candidate small-molecule commercial pre-clinical Administration commercialization investigational manufacturing antiviral smallpox 
ENBL,infrastructure Transportation business processing December Processing Midstream intrastate transportation industrial intrastate transportation distribution interstate 
EDGW,development management channel-based diligence Technology integration improvement enterprise information information management transformational product-based consulting organizational synergistic technology transformation information technology 
YTY.V,wireless applications location-based navigation Precision Corporation connectivity solutions wireless System-in-Package wireless technology precision Machine-to-Machine frequency integrator manufacturer 
TLT.V,development division therapeutic medical technology medical super-pulsed Dynamic Theralase commercialization Biofeedback Therapeutic treatment Technology Company Therapeutic 
EPR,Recreation development recreation education entertainment December Entertainment specialty Education schools investment portfolio investment 
SDZ.V,development ammunition Wireless Electric military Projectile less-lethal training Electric Projectile Forensic Standard millimeter Malodorant generation less-lethal correctional Instructor less-lethal International manufacturing technology Oleoresin Capsicum 
CMS,independent transportation Consumers generation Corporation Michigan Enterprises transmission automotive electricity distribution alternative 
AGU,industrial multi-national business protection wholesale agronomic application nitrogen-based Australia December agricultural Argentina Wholesale business merchandise phosphate-based 
CRCM,marketplace interaction employer-sponsored personal December experience caregivers addition differentiate care-related care-seeking caregiver consumer 
APU,industrial Pennsylvania residential Partnership commercial locations subsidiary continental equipment ventilation wholesale distributor agricultural distribution interstate 
IPG,specialist consumer advertising Worldgroup Constituency Management marketing Mediabrands umbrella Integrated Mediabrands Initiative advertising Interpublic Networks MullenLowe specialist marketing 
KN,manufacture industrial Specialty Components micro-acoustic high-end Corporation processing engineering specialty component infrastructure aerospace military Electronics electronic 
MSFG,agribusiness transaction financial Commercial residential commercial state-chartered subsidiary savings/money governmental accepting repurchase MainSource Financial corporate unsecured 
LNG,development Marketing management medium-term marketing Singapore construction ownership portfolio professional operation Louisiana -related 
SQM,Potassium chloride industrial producer potassium potassium chloride specialty Specialty chemical industrial chemicals production Sociedad commodity fertilizer Industrial chemicals manufacturing contrast 
ICUI,development manufacture Hazardous Transducers hazardous disposable ambulatory ChemoLock Needlefree Conservation transducer needlefree connection Compounding Consumable Hemodynamic Monitoring hemodynamic monitoring ChemoClave Needlefree 
ORBC,irrigation management transportation electric government navigation reporting commercial pipeline monitoring low-Earth connectivity constellation monitoring equipment provider Automatic Identification security ORBCOMM 
CBB,high-speed colocation Cincinnati Entertainment carrier-neutral Technology Solutions Hardware end-to-end subsidiary CyrusOne technology information technology 
CLS,development management after-market introduction residential semiconductor equipment healthcare component integration precision equipment engineering industrial commercial fulfillment mechanical alternative 
FLXS,recreation fold-n-tumble collaborative government residential causeway collection commercial presentation reception healthcare distributor hospitality Flexsteel administrative manufacturer furniture 
FLEX,household industrial wireless infrastructure industrial lifestyle automotive Enterprise semiconductor equipment engineering Reliability high-volume aerospace Industrial manufacturing Flextronics International industrial automation 
PCO,wireless technologies unauthorized duplication business IP IP licensing intellectual Pendrell Corporation electronic licensing 
VOXX,television rechargeable International Corporation automotive iPod/computer Accessories Bluetooth application link-smartphone Automotive distributor rear-seat entertainment avoidance international manufacturer 
GTXI,development nonsteroidal selective triple-negative high-risk non-metastatic candidate development-stage Enobosarm non-metastatic castration commercialization selective biopharmaceutical treatment metastatic Capesaris enobosarm discovery 
CNA,professional liability management financial Commercial Specialty specialty middle-market individual businesses Financial Corporation professional International insurance 
PPBI,Associations management nationwide state-chartered commercial Business Administration California state-chartered commercial business Additionally subsidiary non-profit electronic principal business 
AMRB,mid-sized financing customary installment business financing receivable Sacramento commercial business equipment production American computer unsecured commercial deposit agriculture subsidiary construction earth-moving Bankshares 
SMLP,Marcellus Gathering infrastructure operating midstream fee-based producing processing Mountaineer Midstream unconventional resource pursuant Midstream continental ownership long-term Williston Niobrara gathering 
REI,development activities Culberson equivalent December production company Delaware Platform exploration primary drilling Company acquisition 
CUTR,development manufacture product software marketing ProWave universal graphical CoolGlide energy-based LimeLight Japanese servicing aesthetic interface truSculpt third-party enlighten 
AMTX,development first-generation conversion traditional petroleum-based Hyderabad biodiesel manufacturing biodiesel commercialization Distillers production California international manufacturing technology acquisition administrative 
VOD,Kingdom Zealand television Australia Portugal business broadband Company spectrum Pacific networks Lesotho Mozambique services Hungary geographic segment Tanzania Vodafone 
ROP,communication technology industrial transportation Scientific frequency identification technology measurement commercial construction equipment Industrial Technology healthcare non-destructive inspection Technology 
STO,Development activities processing transportation Technology Norwegian continental Marketing Processing Midstream production exploration Production International marketing Corporate Business Development development Production Solutions 
MVIS,Micro-Electrical Mechanical industrial three-dimensional inclusion Application-Specific Integrated two-dimensional high-resolution miniature Microvision equipment miniature projection expertise platform automotive enterprise technology developer 
BID,decorative advisory business offering auction transact art-related financing artwork brokerage property art-related jewelry 
ONDK,customer financing disparate application Company platform creditworthiness businesses servicing internal Capital customer acquisition assessment decision assistance 
CPAC,development Tembladera Salmueras Sudamericanas Pacasmayo Distribuidora ready-mix traditional production Peru-based construction exploration Additionally diatomite distribution Transmison Guadalupe 
ORN,management services management Caribbean municipal Holdings tilt-wall construction commercial specialty competitive continental institutional construction maintenance industrial construction services 
ROG,industrial substrate Elastomeric Corporation construction elastomeric micro-channel cushioning management applications applications Advanced Connectivity protection automotive Electronics 
TSC,advisory institutional high-net-worth Holdings marketing commercial middle-market Securities Pennsylvania sub-advisory investment Chartwell Investment investment management Investment Management distribution investment 
TKR,Industries passenger industrial off-highway equipment transmission lubrication equipment construction heavy-duty maintenance agricultural on-highway 
TGS,midstream pipeline Transportation compression pipeline construction Transportadora commercialization production Production maintenance transportation Argentina Commercialization 
SF,management financial municipal institutional principal subsidiary commercial research Institutional Management Incorporated Nicolaus Financial transaction investment 
HD,building installation do-it-yourself Professional Customers improvement specific do-it-for-me professional assortment 
APC,development third-party independent exploration developing Corporation condensate processing Exploration geographical natural-gas equivalent 
HFWA,development investment securities Corporation commercial mortgage-backed securities construction four-family residential Borrowings securities available subsidiary municipal securities short-term Government-sponsored 
BWINB,independent transportation specialty property-casualty marketing Commercial medium-sized liability independent contractors assumption Through non-trucking transportation companies reinsurer physical 
GHDX,development genomic-based clinical pipeline quantitative Recurrence invasive research flagship Oncotype carcinoma treatment healthcare genomic-based diagnostic Intelligence Platform expression clinical laboratory 
HCSG,development management housekeeping Healthcare responsible housekeeping department preparation retirement maintenance healthcare department professional administrative rehabilitation 
BNP.TO,development infrastructure multiple Corporation Sedimentary Bonavista production exploration horizontal drilling Saskatchewan Columbia equivalent acquisition 
AVHI,industrial community development residential first-time third-party commercial Tradition Creekside homebuilder construction mixed-use age-restricted operation homebuilding 
PCYO,Rangeview industrial metropolitan Corporation Southeastern integrated Arapahoe governmental infrastructure Arkansas wholesale portfolio wastewater 
VGN.V,interests Prospect diversified companies Nechako Property Manitou exploration interest marketable investment Greencastle Rockstone Property 
GDX.V,Corporation contiguous Chiquimula Guatemala exploration acquisition south-eastern Department Republic Property evaluation Compania 
QEC.TO,development prospective Manitoba bakken/torquay Lawrence Saskatchewan Montreal Wyoming southeast production exploration Kakwa-Resthaven non-conventional projects Canada-based Questerre acquisition 
SRCL,pharmaceutical consulting management inbound/outbound communication Communication hazardous Steri-Safe Stericycle sustainability healthcare regulatory International business-to-business information destruction 
KOPN,dimensional industrial combination Corporation industrial equipment recreational simulation consumer wearable Automated Software military developer reflective Dimension Displays Wearable manufacturer 
NXT.V,development laser-processed back-contact high-temperature quantum-dot controlled deposition Technology processing solution research all-back-contact deposition anti-reflective nanotechnology technology heterojunction 
GTN,separate programming news/weather February television broadcast addition additional secondary broadcast additional Television bandwidth different programming utilizing Network 
IROQ,retirement financial Iroquois Federal business disability origination directing telephone alternative delivery individual Bancorp insurance Association 
MTN,Mountain British Columbia Service mountain National destination RockResorts collection Whistler Blackcomb various Colorado Mountain ancillary concessionaire Mountain Express Mountain segment retail/rental 
CNQ.TO,development independent electricity co-generation synthetic production operations marketing Partnership Upgrading d'Ivoire Midstream production exploration Exploration Production investment Offshore 
NKSH,mid-sized municipal interest-bearing commercial individual retirement Blacksburg community non-interest Bankshares Insurance individuals Bankshares Investment subsidiary investment portfolio Bankshares corporate 
GPL,Mountains Corporate segment financial producer Guanajuato technical northwestern Exploration segment gold-silver processing Guadalupe Exploration Canada-based exploration precious evaluation Coricancha 
SBR,Mississippi landowner Properties constitute producing Oklahoma executive Louisiana production non-participatory interest December similar Properties Southwest 
SU.TO,operations Athabasca business addition Marketing segment petroleum resource third-party petroleum petrochemical products Production Exploration Refining segment integrated 
CETV,MARKIZA business Eastern December entertainment Enterprises operating geographical ACTION Republic entertainment channel Bulgaria European 
CAMP,customer equipment Satellite management transportation business connectivity intelligence government automotive vertical EchoStar machine-to-machine definition satellite satellite television networking direct-broadcast satellite software 
NBTB,northeastern Pennsylvania certificate business southern financial planning commercial consumer Hampshire insurance National Association accounts Massachusetts financial Portland withdrawal accounts investment negotiable 
AST,telomerase Biotherapeutics myelogenous leukemia developing autologous dendritic immunotherapy Research AST-VAC1 Pluripotent pluripotent biotechnology oligodendrocyte progenitor technology regenerative -allogeneic dendritic 
NWS,Information Australia Publishing information Corporation diversified Programming provider interest Digital HarperCollins Publishers consumer SPORTS Australia creating 
LUN.TO,development interest producing Fungurume Neves-Corvo Portugal Corporation diversified porphyry business refinery exploration drilling geographical Candeleria indirect Zinkgruvan Democratic Republic Freeport Candelaria 
AGU.TO,industrial multi-national business protection wholesale agronomic application nitrogen-based Australia December agricultural Argentina Wholesale business merchandise phosphate-based 
CNS,infrastructure resource closed-end portfolio consultant institutional investment objective institutional accounts connection individual model-based open-end investment addition 
ENVA,purchase non-prime financial installment December Washington traditional financial services International technology alternative financial short-term 
TMST,custom-make precision TimkenSteel Corporation generation micro-alloy Mechanical precision treatment mechanical portfolio Precision Products industrial equipment Value-added Precision 
CU.TO,industrial Pipelines strategic investment Electricity commercial distribution expansion Transmission electricity enterprise transmission Distribution ATCOenergy Corporate non-regulated 
PZE,synthetic Argentina-based polystyrene Participaciones processing petroleum hydroelectric exploitation production Production Exploration maintenance Renovables exploration Distribution Venezuela distribution acquisition bi-oriented polystyrene 
NWX.V,compliant copper-gold Australia resource vertical Kamloops pyrite-chalcopyrite Canada-based exploration-stage Instrument magnetite exploration sulfide interest Exploration EX-PEL acquisition Columbia 
SPAR,manufacture Emergency emergency Trademaster Utilivan aftermarket Utilimaster Corporation heavy-duty Metromaster subsidiary manufacturer 
BB.TO,management SecuSUITE Licensing Platforms Enterprise Solutions Technology Solutions Intellectual BlackBerry Enterprise BlackBerry Technology Enhanced subscriber BlackBerry Professional Cybersecurity enterprise Solutions business portfolio enterprise file-sync-and-share solutions providing enterprise 
HGSH,development Garden-Mingzhu high-rise residential September residential commercial Yangzhou multi-layer apartment sub-high-rise apartment construction Oriental Liangzhou multi-layer residential Hanzhong projects high-rise apartment 
LEJU,platform Holdings Corporation marketing physical property e-commerce pre-sale customer advertising residential property discount 
CNXR,Web-based marketplace prescription comparison marketing enrollment defined-contribution Enterprise/State platform individual automation distribution Enterprise/Commercial Connecture 
KEQU,manufacture management installation scientific Scientific Corporation biological engineering adaptable International construction healthcare technical furniture laboratory 
SRC,industrial single-tenant generation commercial in-house Partnership Single-tenant portfolio management triple-net acquisition long-term high-quality self-administered investment self-managed strategic sale-leaseback 
AEHR,contactor marketing semiconductor manufacturing WaferPak reliability packaged Advanced designing fixtures manufacturing parallel advanced principal 
W,decorative seasonal selection December Company destination collection Wayfair DwellStudio international International mobile-optimized AllModern product discovery furniture 
SVA.V,development neurological hemophilia engraftment metabolic microvessel insulin-dependent environment protection treatment development-stage regenerative technologies transplantation therapeutic 
DDR,Company-owned leasable shopping significant business December Southeast adjacent portfolio self-administered investment self-managed Carolina 
