Ticker&Date, BandWidth, BoilUpper, close, BoilLower, BoilPercent,divergence,signal,macd,divergence%,rsi,sma60,sma20,sma5,mfi,stochK,stochD,lastTradeDate
TTI20170909,0.345,2.1695,2.04999995232,1.8245,0.653623050192,0.0461,-0.138,-0.092,0.0224878054011,41.7403,2.5037,1.997,2.098,57.8326,50.0,63.3333,1504877400
MRC20170909,1.4164,16.5872,16.6100006104,15.1708,1.01609757862,0.1387,-0.0514,0.0874,0.00835039102368,59.6379,16.1783,15.879,16.416,53.325,87.3334,90.2564,1504877400
EHIC20170909,0.7668,9.6689,9.52999973297,8.9021,0.818857241746,0.0658,-0.056,0.0097,0.00690451226062,54.311,9.5977,9.2855,9.578,62.5193,79.0123,84.7737,1504877400
BCC20170909,3.9434,31.4817,32.0499992371,27.5383,1.14411402269,0.3393,0.0102,0.3495,0.0105865837153,69.078,29.6167,29.51,30.69,68.8925,89.011,92.0472,1504877400
XGTI20170909,0.7026,2.2158,1.64999997616,1.5132,0.194705346083,-0.0169,-0.0812,-0.0981,-0.0102424243904,30.4062,1.9562,1.8645,1.736,27.2901,17.8571,22.1428,1504877400
BSX20170909,2.6214,28.4812,28.7900009155,25.8598,1.11779999829,0.2283,0.1049,0.3332,0.0079298364967,76.3493,27.3565,27.1705,28.124,87.7859,88.0166,92.1222,1504877400
GTT20170909,3.761,31.6955,29.6499996185,27.9345,0.456128587751,0.1412,-0.1056,0.0356,0.00476222603092,45.3391,30.7708,29.815,30.8,49.9785,38.0282,55.8685,1504877400
RDCM20170909,1.9598,20.0474,19.3500003815,18.0876,0.644147556623,0.1333,-0.2362,-0.1029,0.00688888875308,48.2642,19.9222,19.0675,19.56,78.8316,70.2703,82.7828,1504877400
GRPN20170909,0.7396,4.5233,4.38000011444,3.7837,0.806246774528,0.0121,0.1271,0.1392,0.00276255700545,64.3574,3.8657,4.1535,4.378,73.4949,78.1818,81.7749,1504877400
PNP.TO20170909,0.3208,2.3159,2.07999992371,1.9951,0.264650634994,-0.0116,0.0207,0.0091,-0.00557692328148,47.8495,2.0775,2.1555,2.102,29.5412,23.5294,22.0355,1504877400
VVUS20170909,0.2066,1.0508,0.959999978542,0.8442,0.560503284329,0.0086,-0.056,-0.0473,0.00895833353357,46.4312,1.1012,0.9475,0.91,25.0827,66.6667,42.0833,1504877400
ARII20170909,2.0958,36.7279,35.3400001526,34.6321,0.337770852461,-0.0134,-0.2573,-0.2707,-0.000379173739166,44.0826,36.4553,35.68,35.5,60.7872,47.0589,39.6556,1504877400
PERY20170909,8.7488,24.3444,21.9699993134,15.5956,0.728602701325,0.2881,0.6853,0.9734,0.0131133367776,62.5765,19.3862,19.97,22.348,68.123,83.2592,89.9259,1504877400
TRIP20170909,6.912,45.6065,45.0600013733,38.6945,0.920934805164,0.2995,1.1661,1.4657,0.00664669309525,65.9417,39.293,42.1505,44.494,62.0043,85.2751,91.3325,1504877400
LAKE20170909,3.4488,15.8519,13.8500003815,12.4031,0.41953734095,-0.0071,-0.3009,-0.3081,-0.000512635364942,44.7567,14.6308,14.1275,13.75,59.325,66.6667,56.9445,1504877400
SFLY20170909,3.2766,47.1388,47.0999984741,43.8622,0.988157991247,0.3,-0.5332,-0.2332,0.00636942695794,57.8725,46.9655,45.5005,45.876,66.346,79.7814,78.8438,1504877400
PFNX20170909,0.5014,3.7962,3.53999996185,3.2948,0.48903063792,0.0363,-0.1943,-0.158,0.0102542373986,43.7524,4.1178,3.5455,3.506,35.9077,71.6981,62.7433,1504877400
OCLR20170909,0.6778,8.7709,8.31999969482,8.0931,0.334759065837,0.0216,-0.2319,-0.2103,0.00259615394138,43.426,9.1878,8.432,8.342,55.9206,27.4074,25.679,1504877400
MNGA20170909,0.1788,0.6069,0.600000023842,0.4281,0.961409529317,0.0312,-0.0739,-0.0426,0.0519999979337,49.9826,0.8593,0.5175,0.572,45.922,100.0,55.8995,1504877400
DEPO20170909,0.5546,6.4148,6.11999988556,5.8602,0.468445520301,0.1494,-0.7925,-0.6431,0.0244117651624,32.8351,8.8197,6.1375,6.054,49.5567,40.2597,30.8996,1504877400
SYNA20170909,4.8458,43.0144,38.1100006104,38.1686,-0.0120928205143,0.1878,-2.3803,-2.1925,0.0049278403829,30.0408,48.6052,40.5915,39.624,29.8507,14.3141,17.899,1504877400
CYTX20170909,0.0814,0.3862,0.370000004768,0.3048,0.800982859562,0.0126,-0.0404,-0.0278,0.0340540536152,48.3767,0.5225,0.3455,0.348,63.3011,81.8182,54.5455,1504877400
